generation,track,model,seed,causal_diagnosis,counter_tactic_specificity,abi_feasibility,judge_kind,judge_model,justification
0,A,claude-haiku-4-5,42,,,,human,human-v1,
2,A,claude-haiku-4-5,42,,,,human,human-v1,
1,A,claude-haiku-4-5,42,,,,human,human-v1,
3,A,claude-haiku-4-5,42,,,,human,human-v1,
7,A,claude-haiku-4-5,42,,,,human,human-v1,
4,A,claude-haiku-4-5,42,,,,human,human-v1,
55,A,claude-haiku-4-5,42,,,,human,human-v1,
9,A,claude-haiku-4-5,42,,,,human,human-v1,
5,A,claude-haiku-4-5,42,,,,human,human-v1,
91,A,claude-haiku-4-5,42,,,,human,human-v1,
16,A,claude-haiku-4-5,42,,,,human,human-v1,
6,A,claude-haiku-4-5,42,,,,human,human-v1,
0,A,claude-haiku-4-5,43,,,,human,human-v1,
32,A,claude-haiku-4-5,42,,,,human,human-v1,
8,A,claude-haiku-4-5,42,,,,human,human-v1,
8,A,claude-haiku-4-5,43,,,,human,human-v1,
41,A,claude-haiku-4-5,42,,,,human,human-v1,
10,A,claude-haiku-4-5,42,,,,human,human-v1,
40,A,claude-haiku-4-5,43,,,,human,human-v1,
43,A,claude-haiku-4-5,42,,,,human,human-v1,
11,A,claude-haiku-4-5,42,,,,human,human-v1,
106,A,claude-haiku-4-5,43,,,,human,human-v1,
45,A,claude-haiku-4-5,42,,,,human,human-v1,
12,A,claude-haiku-4-5,42,,,,human,human-v1,
0,A,claude-haiku-4-5,44,,,,human,human-v1,
51,A,claude-haiku-4-5,42,,,,human,human-v1,
13,A,claude-haiku-4-5,42,,,,human,human-v1,
3,A,claude-haiku-4-5,44,,,,human,human-v1,
68,A,claude-haiku-4-5,42,,,,human,human-v1,
14,A,claude-haiku-4-5,42,,,,human,human-v1,
36,A,claude-haiku-4-5,44,,,,human,human-v1,
81,A,claude-haiku-4-5,42,,,,human,human-v1,
15,A,claude-haiku-4-5,42,,,,human,human-v1,
84,A,claude-haiku-4-5,42,,,,human,human-v1,
17,A,claude-haiku-4-5,42,,,,human,human-v1,
85,A,claude-haiku-4-5,42,,,,human,human-v1,
18,A,claude-haiku-4-5,42,,,,human,human-v1,
97,A,claude-haiku-4-5,42,,,,human,human-v1,
19,A,claude-haiku-4-5,42,,,,human,human-v1,
101,A,claude-haiku-4-5,42,,,,human,human-v1,
20,A,claude-haiku-4-5,42,,,,human,human-v1,
103,A,claude-haiku-4-5,42,,,,human,human-v1,
21,A,claude-haiku-4-5,42,,,,human,human-v1,
105,A,claude-haiku-4-5,42,,,,human,human-v1,
22,A,claude-haiku-4-5,42,,,,human,human-v1,
107,A,claude-haiku-4-5,42,,,,human,human-v1,
23,A,claude-haiku-4-5,42,,,,human,human-v1,
111,A,claude-haiku-4-5,42,,,,human,human-v1,
24,A,claude-haiku-4-5,42,,,,human,human-v1,
116,A,claude-haiku-4-5,42,,,,human,human-v1,
