generation,track,model,seed,causal_diagnosis,counter_tactic_specificity,abi_feasibility,judge_kind,judge_model,justification
0,A,claude-haiku-4-5,42,2,1,3,anthropic,claude-opus-4-7,"Cites metrics but draws no mechanism from them; only says 'carry forward' with no counter-tactic, so ABI feasibility is unassessable (default 3)."
2,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection restates metrics without diagnosing why draws occurred; advice is 'try a different mechanism', no tactic to evaluate for ABI."
1,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates outcome and metrics without explaining why; advice is 'try a different mechanism', no counter-tactic to assess ABI against."
3,A,claude-haiku-4-5,42,2,1,3,anthropic,claude-opus-4-7,"Reflection cites metrics but offers no mechanism tying them to outcome; 'carry forward' is not a counter-tactic, so feasibility is moot/middle."
7,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics with no mechanism for the draw; advice is 'try a different mechanism', wholly generic, so ABI feasibility is indeterminate (middle)."
4,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics and says 'try a different mechanism'; no causal analysis, no concrete tactic, so feasibility defaults to middle."
55,A,claude-haiku-4-5,42,2,1,3,anthropic,claude-opus-4-7,Cites metrics but offers no mechanism explaining why; 'carry forward' is not a counter-tactic; feasibility untestable without concrete proposal.
9,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics with no mechanism; advice is 'try a different mechanism', fully generic. No counter-tactic to evaluate for ABI, default middle."
5,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics without explaining why draws occurred; advice is generic ('try a different mechanism'); no tactic to assess feasibility of, default 3."
91,A,claude-haiku-4-5,42,2,1,3,anthropic,claude-opus-4-7,Cites metrics but no mechanism for why win occurred; 'carry forward' is not a counter-tactic; feasibility N/A so middle.
16,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection restates metrics without explaining why draw occurred; advice is 'try a different mechanism' with no direction or parameters; feasibility unknowable, default 3."
6,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics with no mechanism; advice is 'try different mechanism' — no tactic proposed, so feasibility defaults to middle."
0,A,claude-haiku-4-5,43,2,1,3,anthropic,claude-opus-4-7,"Reflection just reports draw metrics with no mechanism analysis; advice is 'carry forward' with no concrete counter-tactic, so feasibility is moot."
32,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics without explaining why draw occurred; advice is 'try a different mechanism', no counter-tactic to assess feasibility of."
8,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only cites metrics as raw dump with no mechanism; advice is 'try a different mechanism', fully generic. No tactic to assess ABI on, so middle."
8,A,claude-haiku-4-5,43,2,1,3,anthropic,claude-opus-4-7,"Cites metrics but no mechanism explaining draw outcome; advice is just 'carry forward' with no counter-tactic specified, so feasibility is moot."
41,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,Reflection only restates metrics and outcome (all draws) with no mechanism; advice is generic 'try a different mechanism'; no tactic to assess for ABI.
10,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection restates metrics without diagnosing why draws occurred; advice is 'try a different mechanism' with no tactic, so feasibility is unscorable—defaulting to 3."
40,A,claude-haiku-4-5,43,2,1,3,anthropic,claude-opus-4-7,Cites metrics but offers no mechanism linking them to outcome; 'carry forward' is not a counter-tactic; feasibility is moot/neutral.
43,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection merely restates metrics without explaining why draw occurred; advice is 'try different mechanism', no tactic to evaluate for ABI."
11,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,Reflection merely notes draw outcome with no mechanism analysis; advice is 'try a different mechanism' — no tactic to assess feasibility of.
106,A,claude-haiku-4-5,43,2,1,3,anthropic,claude-opus-4-7,Cites metrics but no mechanism for why A won; 'carry forward' is not a counter-tactic; feasibility neutral due to no concrete proposal.
45,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,Reflection only restates metrics without explaining why all matches drew; advice is 'try a different mechanism' with no direction or parameters.
12,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates metrics without explaining why draws occurred; advice is 'try a different mechanism', no tactic to assess feasibility of."
0,A,claude-haiku-4-5,44,2,1,3,anthropic,claude-opus-4-7,"Reflection restates metrics and draw outcome without explaining why; 'carry forward' offers no counter-tactic, so feasibility is moot (default 3)."
51,A,claude-haiku-4-5,42,1,1,3,anthropic,claude-opus-4-7,"Reflection only restates draw metrics without explaining cause; advice is generic 'try different mechanism'; no concrete tactic to assess ABI fit, default 3."
